protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,tabpfn__ecfp_1024_rdkit2d_normalized_200,TabPFN,ECFP4 (1024-bit) + RDKit2D (200-d),test,MCC,0.7976120767544659,0.0509354581548519,0.7343673521315718,0.86085680137736
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),valid,AUROC,0.8611589351187631,0.0554336404756304,0.7923289794508016,0.9299888907867244
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),valid,AUPRC,0.7203206893409977,0.1057950470780028,0.588958788195969,0.8516825904860263
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),valid,Accuracy,0.8405688238315356,0.0390039070017081,0.7921390767182269,0.8889985709448444
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),valid,F1,0.5820695572613731,0.1242340473824501,0.4278126132754439,0.7363265012473023
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),valid,MCC,0.5153266338050618,0.1233666174719911,0.3621467463099146,0.668506521300209
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),test,AUROC,0.946144927536232,0.0168245826887535,0.9252544489268044,0.9670354061456596
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),test,AUPRC,0.920526766522159,0.0101573100012724,0.907914800374984,0.933138732669334
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),test,Accuracy,0.926530612244898,0.0085373472095313,0.9159300955746574,0.9371311289151384
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),test,F1,0.8375165201049933,0.0213475461885131,0.8110100405527245,0.8640229996572621
scaffold,tabpfn__ecfp_2048,TabPFN,ECFP4 (2048-bit),test,MCC,0.7913887678142448,0.0260221921799641,0.7590779486300437,0.8236995869984459
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUROC,0.8779391838036027,0.0504765036212853,0.8152643265018507,0.9406140411053548
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUPRC,0.7643993654533687,0.0943146891650023,0.6472922114154065,0.881506519491331
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),valid,Accuracy,0.8631869542886491,0.0338019268691667,0.8212163186252882,0.90515758995201
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),valid,F1,0.6327816091954024,0.108638337069134,0.497889297231933,0.7676739211588718
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),valid,MCC,0.5848572268380655,0.1090443752499889,0.4494607518835324,0.7202537017925985
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),test,AUROC,0.9546666666666668,0.0132790324652669,0.9381785701235658,0.9711547632097676
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),test,AUPRC,0.9102998850389764,0.0070408576496601,0.9015575055789156,0.9190422644990368
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),test,Accuracy,0.9244897959183674,0.0091268080714277,0.91315736691756,0.9358222249191748
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),test,F1,0.8325252525252524,0.0207796216090889,0.8067239444769497,0.8583265605735552
scaffold,rf__ecfp_2048_rdkit2d_normalized_200,Random Forest,ECFP4 (2048-bit) + RDKit2D (200-d),test,MCC,0.7850313100615076,0.0264923442522933,0.7521367199754144,0.8179259001476008
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUROC,0.8763589988841065,0.0513407065054221,0.812611091973978,0.9401069057942352
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),valid,AUPRC,0.7720477857120145,0.0827921065820664,0.6692478076336135,0.8748477637904155
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),valid,Accuracy,0.8541474062660503,0.0396415147192334,0.8049259646049135,0.9033688479271872
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),valid,F1,0.6019222280196814,0.1377585684489327,0.4308723731325524,0.7729720829068105
scaffold,rf__ecfp_1024_rdkit2d_normalized_200,Random Forest,ECFP4 (1024-bit) + RDKit2D (200-d),valid,MCC,0.5581223011555532,0.128438769853136,0.3986445046553349,0.7176000976557714
