source,source_row,raw_smiles,canonical_smiles,status,representative_source_row
zinc,13284,O=C(Cc1ccccc1C(=O)O)N[C@H](CN1CCCC1)c1ccccc1,O=C(Cc1ccccc1C(=O)O)N[C@H](CN1CCCC1)c1ccccc1,within_source_duplicate,8348
zinc,13285,O=C(Cc1cccc(C(=O)O)c1)N[C@H](CN1CCCC1)c1ccccc1,O=C(Cc1cccc(C(=O)O)c1)N[C@H](CN1CCCC1)c1ccccc1,within_source_duplicate,8349
zinc,13286,O=C(Cc1ccc(C(=O)O)cc1)N[C@H](CN1CCCC1)c1ccccc1,O=C(Cc1ccc(C(=O)O)cc1)N[C@H](CN1CCCC1)c1ccccc1,within_source_duplicate,8350
zinc,13287,CCN(CC)S(=O)(=O)c1ccc(N[C@@H](C)CN2CCC(C)CC2)nc1,CCN(CC)S(=O)(=O)c1ccc(N[C@@H](C)CN2CCC(C)CC2)nc1,within_source_duplicate,8351
zinc,13288,CCN(CC)S(=O)(=O)c1ccc(N[C@H](C)CN2CCC(C)CC2)nc1,CCN(CC)S(=O)(=O)c1ccc(N[C@H](C)CN2CCC(C)CC2)nc1,within_source_duplicate,8352
zinc,13289,Cn1c(=O)n(C2CCN(Cc3cc(O)cc(O)c3)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3cc(O)cc(O)c3)CC2)c2ccccc21,within_source_duplicate,8353
zinc,13290,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(OCCO)cc2)CC1,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(OCCO)cc2)CC1,within_source_duplicate,8354
zinc,13291,COc1cc(O)ccc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1,COc1cc(O)ccc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1,within_source_duplicate,8355
zinc,13292,Cn1c(=O)n(C2CCN(Cc3ccccc3C(=O)O)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3ccccc3C(=O)O)CC2)c2ccccc21,within_source_duplicate,8356
zinc,13293,Cn1c(=O)n(C2CCN(Cc3c(N)cccc3F)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3c(N)cccc3F)CC2)c2ccccc21,within_source_duplicate,8357
zinc,13294,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1N,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1N,within_source_duplicate,8358
zinc,13295,CON(C)C(=O)c1cc(Cl)nc(NCCN2CCC(F)(F)CC2)c1,CON(C)C(=O)c1cc(Cl)nc(NCCN2CCC(F)(F)CC2)c1,within_source_duplicate,8359
zinc,13296,CCOC(=O)c1cnc(NCCN2CCC(F)(F)CC2)cc1OCC,CCOC(=O)c1cnc(NCCN2CCC(F)(F)CC2)cc1OCC,within_source_duplicate,8360
zinc,13297,CC(C)(C)C(=O)Nc1ccc(CO)nc1NCCN1CCC(F)(F)CC1,CC(C)(C)C(=O)Nc1ccc(CO)nc1NCCN1CCC(F)(F)CC1,within_source_duplicate,8361
zinc,13298,COC(=O)c1c(Cl)cnc(NCCN2CCC(F)(F)CC2)c1OC,COC(=O)c1c(Cl)cnc(NCCN2CCC(F)(F)CC2)c1OC,within_source_duplicate,8362
zinc,13299,CC(C)(C)OC(=O)c1cnc(NCCN2CCC(N)CC2)c(Cl)c1,CC(C)(C)OC(=O)c1cnc(NCCN2CCC(N)CC2)c(Cl)c1,within_source_duplicate,8363
zinc,13300,Cn1c(=O)n(C2CCN(Cc3ccc(CO)cc3)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3ccc(CO)cc3)CC2)c2ccccc21,within_source_duplicate,8364
zinc,13301,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1O,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1O,within_source_duplicate,8365
zinc,13302,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)ccc1O,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)ccc1O,within_source_duplicate,8366
zinc,13303,Cn1c(=O)n(C2CCN(Cc3ccc(C(=O)O)cc3)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3ccc(C(=O)O)cc3)CC2)c2ccccc21,within_source_duplicate,8367
zinc,13304,Cn1c(=O)n(C2CCN(Cc3cc(F)ccc3N)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3cc(F)ccc3N)CC2)c2ccccc21,within_source_duplicate,8368
zinc,13305,Cn1c(=O)n(C2CCN(Cc3ccc(CCO)cc3)CC2)c2ccccc21,Cn1c(=O)n(C2CCN(Cc3ccc(CCO)cc3)CC2)c2ccccc21,within_source_duplicate,8369
zinc,13306,COc1cc(O)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1,COc1cc(O)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1,within_source_duplicate,8370
zinc,13307,COc1c(O)cccc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1,COc1c(O)cccc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1,within_source_duplicate,8371
zinc,13308,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccccc2OCCO)CC1,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccccc2OCCO)CC1,within_source_duplicate,8372
zinc,13309,CCN(CC)S(=O)(=O)c1ccc(NC[C@H](C)N2CCC[C@@H](C)C2)nc1,CCN(CC)S(=O)(=O)c1ccc(NC[C@H](C)N2CCC[C@@H](C)C2)nc1,within_source_duplicate,8373
zinc,13310,CCN(CC)S(=O)(=O)c1ccc(NC[C@H](C)N2CCC[C@H](C)C2)nc1,CCN(CC)S(=O)(=O)c1ccc(NC[C@H](C)N2CCC[C@H](C)C2)nc1,within_source_duplicate,8374
zinc,13311,CCN(CC)S(=O)(=O)c1ccc(NC[C@@H](C)N2CCC[C@@H](C)C2)nc1,CCN(CC)S(=O)(=O)c1ccc(NC[C@@H](C)N2CCC[C@@H](C)C2)nc1,within_source_duplicate,8375
zinc,13312,CCN(CC)S(=O)(=O)c1ccc(NC[C@@H](C)N2CCC[C@H](C)C2)nc1,CCN(CC)S(=O)(=O)c1ccc(NC[C@@H](C)N2CCC[C@H](C)C2)nc1,within_source_duplicate,8376
zinc,13313,CC1CCN([C@@H](CNc2ccc(S(=O)(=O)N(C)C)cn2)C(C)C)CC1,CC1CCN([C@@H](CNc2ccc(S(=O)(=O)N(C)C)cn2)C(C)C)CC1,within_source_duplicate,8377
zinc,13314,CC1CCN([C@H](CNc2ccc(S(=O)(=O)N(C)C)cn2)C(C)C)CC1,CC1CCN([C@H](CNc2ccc(S(=O)(=O)N(C)C)cn2)C(C)C)CC1,within_source_duplicate,8378
zinc,13315,CCN(CC)S(=O)(=O)c1ccc(NCCN2CCCC(C)(C)C2)nc1,CCN(CC)S(=O)(=O)c1ccc(NCCN2CCCC(C)(C)C2)nc1,within_source_duplicate,8379
zinc,13316,CC[C@H]1CCCCN1CCNc1ccc(S(=O)(=O)N(CC)CC)cn1,CC[C@H]1CCCCN1CCNc1ccc(S(=O)(=O)N(CC)CC)cn1,within_source_duplicate,8380
zinc,13317,CC[C@@H]1CCCCN1CCNc1ccc(S(=O)(=O)N(CC)CC)cn1,CC[C@@H]1CCCCN1CCNc1ccc(S(=O)(=O)N(CC)CC)cn1,within_source_duplicate,8381
zinc,13318,C[C@H]1CC[C@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,C[C@H]1CC[C@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8382
zinc,13319,C[C@H]1CC[C@@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,C[C@H]1CC[C@@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8383
zinc,13320,C[C@@H]1CC[C@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,C[C@@H]1CC[C@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8384
zinc,13321,C[C@@H]1CC[C@@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,C[C@@H]1CC[C@@](NC(=O)COc2ccc(CO)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8385
zinc,13322,C[C@H]1CC[C@@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,C[C@H]1CC[C@@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8386
zinc,13323,C[C@H]1CC[C@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,C[C@H]1CC[C@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8387
zinc,13324,C[C@@H]1CC[C@@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,C[C@@H]1CC[C@@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8388
zinc,13325,C[C@@H]1CC[C@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,C[C@@H]1CC[C@](NC(=O)COc2ccc(O)cc2)(C(=O)O)c2ccccc21,within_source_duplicate,8389
zinc,13326,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3)C1O5,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3)C1O5,within_source_duplicate,8390
zinc,13327,CNC(=O)c1cccnc1NCCN1CCC(CO)CC1,CNC(=O)c1cccnc1NCCN1CCC(CO)CC1,within_source_duplicate,8391
zinc,13328,Cc1ccc(C(N)=O)c(NCCN2CCC(CO)CC2)n1,Cc1ccc(C(N)=O)c(NCCN2CCC(CO)CC2)n1,within_source_duplicate,8392
zinc,13329,NC(=O)c1cccnc1NCCN1CCC(CO)CC1,NC(=O)c1cccnc1NCCN1CCC(CO)CC1,within_source_duplicate,8393
zinc,13330,NC(=O)c1cccnc1NCCN1CCC[C@@H](CO)C1,NC(=O)c1cccnc1NCCN1CCC[C@@H](CO)C1,within_source_duplicate,8394
zinc,13331,NC(=O)c1cccnc1NCCN1CCC[C@H](CO)C1,NC(=O)c1cccnc1NCCN1CCC[C@H](CO)C1,within_source_duplicate,8395
zinc,13332,CNC(=O)c1ccnc(NCCN2CCC[C@@H](CO)C2)c1,CNC(=O)c1ccnc(NCCN2CCC[C@@H](CO)C2)c1,within_source_duplicate,8396
zinc,13333,CNC(=O)c1ccnc(NCCN2CCC[C@H](CO)C2)c1,CNC(=O)c1ccnc(NCCN2CCC[C@H](CO)C2)c1,within_source_duplicate,8397
zinc,13334,NC(=O)c1ccc(NCCN2CCC[C@@H](CO)C2)nc1,NC(=O)c1ccc(NCCN2CCC[C@@H](CO)C2)nc1,within_source_duplicate,8398
zinc,13335,NC(=O)c1ccc(NCCN2CCC[C@H](CO)C2)nc1,NC(=O)c1ccc(NCCN2CCC[C@H](CO)C2)nc1,within_source_duplicate,8399
zinc,13336,NC(=O)c1cccnc1NCCN1CCCC[C@@H]1CO,NC(=O)c1cccnc1NCCN1CCCC[C@@H]1CO,within_source_duplicate,8400
zinc,13337,NC(=O)c1cccnc1NCCN1CCCC[C@H]1CO,NC(=O)c1cccnc1NCCN1CCCC[C@H]1CO,within_source_duplicate,8401
zinc,13338,NC(=O)c1ccnc(NCCN2CCC[C@@H](CO)C2)c1,NC(=O)c1ccnc(NCCN2CCC[C@@H](CO)C2)c1,within_source_duplicate,8402
zinc,13339,NC(=O)c1ccnc(NCCN2CCC[C@H](CO)C2)c1,NC(=O)c1ccnc(NCCN2CCC[C@H](CO)C2)c1,within_source_duplicate,8403
zinc,13340,O=C(O)c1cccnc1NCCN1CCC[C@@H](CO)C1,O=C(O)c1cccnc1NCCN1CCC[C@@H](CO)C1,within_source_duplicate,8404
zinc,13341,O=C(O)c1cccnc1NCCN1CCC[C@H](CO)C1,O=C(O)c1cccnc1NCCN1CCC[C@H](CO)C1,within_source_duplicate,8405
zinc,13342,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1OC,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1OC,within_source_duplicate,8406
zinc,13343,CC(=O)Nc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,CC(=O)Nc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1,within_source_duplicate,8407
zinc,13344,COc1ccc(C)cc1CC(=O)N[C@H](CN1CCCC1)c1ccccc1,COc1ccc(C)cc1CC(=O)N[C@H](CN1CCCC1)c1ccccc1,within_source_duplicate,8408
zinc,13345,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1F,COc1ccc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)cc1F,within_source_duplicate,8409
zinc,13346,COc1cc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)ccc1C,COc1cc(CC(=O)N[C@H](CN2CCCC2)c2ccccc2)ccc1C,within_source_duplicate,8410
zinc,13347,COc1ccc(C)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,COc1ccc(C)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,within_source_duplicate,8411
zinc,13348,COc1ccc(F)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,COc1ccc(F)cc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1,within_source_duplicate,8412
zinc,13349,COc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1F,COc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1F,within_source_duplicate,8413
