screen_id,global_rank,canonical_smiles,sources,source_count,source_row_count,rf_antagonistic_score,lightgbm_antagonistic_score,tabpfn_antagonistic_score,rf_pred_label,tabpfn_pred_label,lightgbm_pred_label,consensus_all_antagonistic,consensus_all_non_antagonistic,consensus_vote_count,consensus_mean_score,consensus_min_score,consensus_max_score,model_score_range
screen_c44a701b59d4d665bfc9,45,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)Cc2ccccc2)c1,gpcrdb,1,1,0.97,0.9972285633838174,0.9943417,1,1,1,1,0,3,0.9871900782835482,0.97,0.9972285633838174,0.027228563383817406
screen_3510d854db9694c3048f,46,CC1CN(CCCc2ccccc2)C2CC(NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,gpcrdb;reinvent,2,6,0.9866666666666667,0.9999937790883624,0.97466886,1,1,1,1,0,3,0.9871097687301716,0.9746688604354858,0.9999937790883624,0.02532491865287656
screen_44fe799fbeaacc6286ba,47,CC1CN(CCCc2ccccc2)C2C[C@@H](NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,gpcrdb,1,1,0.9866666666666667,0.9999937790883624,0.97466886,1,1,1,1,0,3,0.9871097687301716,0.9746688604354858,0.9999937790883624,0.02532491865287656
screen_6ca5ebc6a9957ed2ae30,48,CC1CN(CCCc2ccccc2)C2C[C@H](NC(=O)C3(c4ccccc4)CCCC3)CC1(c1cccc(O)c1)C2,gpcrdb,1,1,0.9866666666666667,0.9999937790883624,0.97466886,1,1,1,1,0,3,0.9871097687301716,0.9746688604354858,0.9999937790883624,0.02532491865287656
screen_b39f72a920fb93f5b299,49,CC(=O)N(CCCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.98,0.9999780297732324,0.98126566,1,1,1,1,0,3,0.9870812312912931,0.98,0.9999780297732324,0.019978029773232375
screen_e4b94eed7e876212849f,50,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC(F)(F)CC2)C(=O)[C@H](O)CO)c1,gpcrdb,1,1,0.9696427874751188,0.9999469564639715,0.99163115,1,1,1,1,0,3,0.987073631394919,0.9696427874751188,0.9999469564639715,0.030304168988852687
screen_e7b3793851f2a0fbba7b,51,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCC(F)(F)CC2)C(=O)[C@@H](O)CO)c1,gpcrdb,1,1,0.9696427874751188,0.9999469564639715,0.99163115,1,1,1,1,0,3,0.987073631394919,0.9696427874751188,0.9999469564639715,0.030304168988852687
screen_9d3f4bd7443cef520668,52,CC(C)(CO)C(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCC1,gpcrdb,1,1,0.9833333333333333,0.9999976993512404,0.97770315,1,1,1,1,0,3,0.9870113955905468,0.9777031540870667,0.9999976993512404,0.022294545264173737
screen_7d1cf5c40703a11dbc18,53,CN(C)CCCC(=O)N(CCN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(C(N)=O)c1)C2)CC1CCCCC1,gpcrdb,1,1,0.965,0.9995465335531402,0.9964718,1,1,1,1,0,3,0.9870061186049833,0.965,0.9995465335531402,0.03454653355314019
screen_f35e7948a2d519f53198,54,NC(=O)c1cccc(C2CC3CCC(C2)N3CCNCC2CCCCC2)c1,reinvent,1,1,0.9716666666666667,0.9999132384781754,0.9888148,1,1,1,1,0,3,0.9867982254400754,0.9716666666666667,0.9999132384781754,0.02824657181150869
screen_99324bb79e388a6b1346,55,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCCN(Cc2ccccc2)C(=O)CO)c1,gpcrdb,1,1,0.9683333333333334,0.9999897497040507,0.9913925,1,1,1,1,0,3,0.9865718587617899,0.9683333333333334,0.9999897497040507,0.031656416370717366
screen_16394dfb8262df76e78e,56,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)C[C@H](O)CO)c1,gpcrdb,1,1,0.9833333333333333,0.9999588257813541,0.9758509,1,1,1,1,0,3,0.9863810130869046,0.9758508801460266,0.9999588257813541,0.024107945635327477
screen_9b29891bc431849703d9,57,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(Cc2cccc(F)c2)C(=O)CO)c1,gpcrdb,1,1,0.9648465969989282,0.9999838669075984,0.99335355,1,1,1,1,0,3,0.9860613365240892,0.9648465969989282,0.9999838669075984,0.03513726990867028
screen_f27ef1fcce54800fc3aa,58,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CCc2ccc(F)cc2)C(=O)CO)c1,gpcrdb,1,1,0.9631799303322616,0.9999264219127445,0.99506783,1,1,1,1,0,3,0.9860580623663774,0.9631799303322616,0.9999264219127445,0.03674649158048293
