smiles,gpcrdb_cid,species,receptor,source_file
COC[C@]12Cc3ccc(O)cc3[C@](C)(CCCN1C)C2,205152,bos,mu,bos-mu.xlsx
C=C(CO[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)C(=O)OC,207363,bos,mu,bos-mu.xlsx
CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1436,bos,mu,bos-mu.xlsx
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,213353,bos,mu,bos-mu.xlsx
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,2594,bos,mu,bos-mu.xlsx
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,3045,cavia,delta,cavia-delta.xlsx
C[C@H](N)[C@H](O)c1ccccc1,27120,cavia,delta,cavia-delta.xlsx
O=C1/C(=C\c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,699,cavia,delta,cavia-delta.xlsx
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,218492,cavia,delta,cavia-delta.xlsx
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,799,cavia,delta,cavia-delta.xlsx
CC(N)C(=O)c1ccccc1,218812,cavia,delta,cavia-delta.xlsx
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2C[C@@H]1CCCO1,89232,cavia,delta,cavia-delta.xlsx
C[C@H]1[C@H]2Cc3ccc(Nc4ccccc4)cc3[C@@]1(C)CCN2CC1CC1,89281,cavia,delta,cavia-delta.xlsx
C[C@H]1[C@H]2Cc3ccc(N)cc3[C@@]1(C)CCN2CC1CC1,89282,cavia,delta,cavia-delta.xlsx
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,100418,cavia,delta,cavia-delta.xlsx
CC1C2Cc3ccc(C(N)=O)cc3C1(C)CCN2CC1CC1,101476,cavia,delta,cavia-delta.xlsx
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC1CC1,103606,cavia,delta,cavia-delta.xlsx
CC1C2Cc3ccc(NC=O)cc3C1(C)CCN2CC1CC1,163747,cavia,delta,cavia-delta.xlsx
CC1C2Cc3ccc(Nc4cccnc4)cc3C1(C)CCN2CC1CC1,163995,cavia,delta,cavia-delta.xlsx
CCC12CCN(CC3CC3)C(C(=O)c3ccc(NC=O)cc31)C2C,164119,cavia,delta,cavia-delta.xlsx
COc1ccc(Nc2ccc3c(c2)C2(C)CCN(CC4CC4)C(C3)C2C)cc1,164288,cavia,delta,cavia-delta.xlsx
C[C@H]1[C@H]2Cc3ccc(NC=O)cc3[C@]1(C)CCN2CC1CC1,164709,cavia,delta,cavia-delta.xlsx
CCC12CCN(CC3CC3)C(C(=O)c3ccc(C(N)=O)cc31)C2C,176952,cavia,delta,cavia-delta.xlsx
O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1Cc1c[nH]c2ccccc12,216700,cavia,delta,cavia-delta.xlsx
CCC12CCN(CC3CC3)C(C(=O)c3ccc(O)cc31)C2C,197616,cavia,delta,cavia-delta.xlsx
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,133590,cavia,delta,cavia-delta.xlsx
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=S(=O)(O)O,218488,cavia,delta,cavia-delta.xlsx
CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)C(Cc1ccccc1)C(=O)NCCO,218485,cavia,delta,cavia-delta.xlsx
CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)NCC(N)=O)C(C)C,211590,cavia,delta,cavia-delta.xlsx
CCCC(C)(O)C1CC23CCC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,218838,cavia,delta,cavia-delta.xlsx
NC(CCS(=O)(=O)O)C(=O)O,218805,cavia,delta,cavia-delta.xlsx
CNC(C)C(O)c1ccccc1,218667,cavia,delta,cavia-delta.xlsx
CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,1594,cavia,delta,cavia-delta.xlsx
CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,1595,cavia,delta,cavia-delta.xlsx
CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5.Cl,218495,cavia,delta,cavia-delta.xlsx
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1630,cavia,delta,cavia-delta.xlsx
CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O,218814,cavia,delta,cavia-delta.xlsx
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,100021,cavia,delta,cavia-delta.xlsx
O=c1cc2oc(-c3ccc(O)c(O)c3)c(OC3OC(CO)C(O)C(O)C3O)c(O)c-2c(O)c1,218816,cavia,delta,cavia-delta.xlsx
NC1CCSC1=O,218802,cavia,delta,cavia-delta.xlsx
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)[C@H](O)[C@@H](O)C(=O)O,218491,cavia,delta,cavia-delta.xlsx
CC12CC3CC(C)(C1)CC(N)(C3)C2,207959,cavia,delta,cavia-delta.xlsx
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl,218489,cavia,delta,cavia-delta.xlsx
CNC(C)C(=O)c1ccccc1,218813,cavia,delta,cavia-delta.xlsx
C=CCN1CCC23c4c5ccc(O)c4OC2C(=NNC(=O)c2ccccc2)CCC3(O)C1C5,218497,cavia,delta,cavia-delta.xlsx
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5.Cl,218490,cavia,delta,cavia-delta.xlsx
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.Cl,218496,cavia,delta,cavia-delta.xlsx
Cl.O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,218493,cavia,delta,cavia-delta.xlsx
Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,2728,cavia,delta,cavia-delta.xlsx
CC(N)C(O)c1ccccc1,204731,cavia,delta,cavia-delta.xlsx
CN(C(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(Cc1ccccc1)C(=O)N1CCCC1C(N)=O,218487,cavia,delta,cavia-delta.xlsx
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(CO)c8c1c2c(c34)c(c65)c78,218815,cavia,delta,cavia-delta.xlsx
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,188382,cavia,delta,cavia-delta.xlsx
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(=O)cc(O)c-3c2O)C(O)C(O)C1O,218818,cavia,delta,cavia-delta.xlsx
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,218817,cavia,delta,cavia-delta.xlsx
NC(Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,218785,cavia,delta,cavia-delta.xlsx
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1.CS(=O)(=O)O,218494,cavia,delta,cavia-delta.xlsx
CN(C(=O)Cc1ccccc1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,3903,cavia,delta,cavia-delta.xlsx
CN1CCC2(C)c3cc(O)ccc3CC1C2(C)CCC(=O)CCC1CCCC1,218498,cavia,delta,cavia-delta.xlsx
COC(=O)/C=C/C(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,614,cavia,kappa,cavia-kappa.xlsx
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,204005,cavia,kappa,cavia-kappa.xlsx
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,201142,cavia,kappa,cavia-kappa.xlsx
COCC[C@H]1CC2CN3CCc4c([nH]c5ccccc45)[C@](C(=O)OC)(C2)[C@H]13,204288,cavia,kappa,cavia-kappa.xlsx
NC(N)=Nc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,136,cavia,kappa,cavia-kappa.xlsx
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(N)=O,213039,cavia,kappa,cavia-kappa.xlsx
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,371,cavia,kappa,cavia-kappa.xlsx
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,107587,cavia,kappa,cavia-kappa.xlsx
CN(C(=O)C(c1ccccc1)c1ccccc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,495,cavia,kappa,cavia-kappa.xlsx
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,205585,cavia,kappa,cavia-kappa.xlsx
NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)CO)c1,106226,cavia,kappa,cavia-kappa.xlsx
Cn1c2c(c3c1[C@@H]1Oc4c(O)ccc5c4[C@@]14CCN(CC1CC1)[C@H](C5)[C@]4(O)C3)C[C@@]1(O)[C@H]3Cc4ccc(O)c5c4[C@@]1(CCN3CC1CC1)[C@H]2O5,204705,cavia,kappa,cavia-kappa.xlsx
O=C1/C(=C/c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,94655,cavia,kappa,cavia-kappa.xlsx
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,189274,cavia,kappa,cavia-kappa.xlsx
Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,101996,cavia,kappa,cavia-kappa.xlsx
CC(C)CC(NC(=O)CNC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C)C(=O)NCCCCCN,4175,cavia,kappa,cavia-kappa.xlsx
CCCC(=N)NCCCCCCNC(=O)C(CC(C)C)NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4209,cavia,kappa,cavia-kappa.xlsx
CCCCC(=N)NCCCCCNC(=O)C(CC(C)C)NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4231,cavia,kappa,cavia-kappa.xlsx
CC(C)CC(NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C)C(=O)NCCCCCN=C(N)N,4250,cavia,kappa,cavia-kappa.xlsx
CCCC(=N)NCCCCNC(=O)C(CC(C)C)NC(=O)CNC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4353,cavia,kappa,cavia-kappa.xlsx
CC(C)CC(NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C)C(=O)NCCCCCCN,4356,cavia,kappa,cavia-kappa.xlsx
C[C@@H]1CN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)c2ccccc21,4401,cavia,kappa,cavia-kappa.xlsx
CCCCC(=N)NCCCCCCNC(=O)C(CC(C)C)NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4492,cavia,kappa,cavia-kappa.xlsx
COC12C=CC34C[C@@]1(C)C(c1ccccc1)=N[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,4502,cavia,kappa,cavia-kappa.xlsx
C[C@@H]1Cc2ccccc2[C@H](CN2CCCC2)N1C(=O)Cc1ccc(Cl)c(Cl)c1,4509,cavia,kappa,cavia-kappa.xlsx
CCCCC(=N)NCCCCNC(=O)C(CC(C)C)NC(=O)CNC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4650,cavia,kappa,cavia-kappa.xlsx
CCCC(=N)NCCCCCNC(=O)C(CC(C)C)NC(=O)CNC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4686,cavia,kappa,cavia-kappa.xlsx
CCCC(=N)NCCCCNC(=O)C(CC(C)C)NC(=O)[C@]1(c2ccccc2)CC1CN1CC[C@@]2(C)c3cc(O)ccc3CC1C2C,4703,cavia,kappa,cavia-kappa.xlsx
Oc1cccc2c1O[C@H]1CCC[C@H]3CN(CC4CC4)CC[C@@]231,4786,cavia,kappa,cavia-kappa.xlsx
COc1c(O)ccc2c1C13CCN(CC4CC4)C(C2)[C@]1(O)CCC(=O)C3,4858,cavia,kappa,cavia-kappa.xlsx
COc1c(O)ccc2c1C13CCN(CC4CC4)C(C2)[C@]1(OC)CCC(=O)C3,5122,cavia,kappa,cavia-kappa.xlsx
CC[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,5148,cavia,kappa,cavia-kappa.xlsx
COc1cccc(C(CN2CCCC2)N(C)C(=O)Cc2ccc(Cl)c(Cl)c2)c1,5165,cavia,kappa,cavia-kappa.xlsx
CCC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,5167,cavia,kappa,cavia-kappa.xlsx
CCC[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,5178,cavia,kappa,cavia-kappa.xlsx
O=C1CC[C@H]2CN(CC3CC3)CC[C@@]23c2cccc(O)c2O[C@@H]13,5184,cavia,kappa,cavia-kappa.xlsx
COc1cccc2c1O[C@H]1[C@@H](O)CC[C@H]3CN(CC4CC4)CC[C@@]231,5199,cavia,kappa,cavia-kappa.xlsx
COc1ccccc1C(CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,5221,cavia,kappa,cavia-kappa.xlsx
