zinc_id,smiles
ZINC001223017936,CCOC(=O)C[C@@H](C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223017937,CCOC(=O)C[C@@H](C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223018353,CC(C)OC(=O)CO[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223018354,CC(C)OC(=O)CO[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020420,C=CC(=O)OC[C@H](C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020421,C=CC(=O)OC[C@H](C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020422,C=CC(=O)OC[C@@H](C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020423,C=CC(=O)OC[C@@H](C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020504,CCOC(=O)C(C)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020505,CCOC(=O)C(C)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020584,C[C@H](O)CCCC(=O)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020586,C[C@H](O)CCCC(=O)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020588,C[C@@H](O)CCCC(=O)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020592,C[C@@H](O)CCCC(=O)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020676,CC[C@@H](CC(=O)OC)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223020678,CC[C@@H](CC(=O)OC)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223021092,CCC(O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OC
ZINC001223021094,CCC(O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21)C(=O)OC
ZINC001223023471,CCOC(=O)C(CC)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223023472,CCOC(=O)C(CC)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223023473,CCOC(=O)C(CC)O[C@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001223023474,CCOC(=O)C(CC)O[C@@H]1c2ccccc2N(C)S(=O)(=O)c2cc(Cl)ccc21
ZINC001231506118,COCCCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1
ZINC001231523423,Cn1c(=O)n(C2CCN(Cc3ccc(O)c(C(F)(F)F)c3)CC2)c2ccccc21
ZINC001231696181,COc1cc(Cl)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC)c1
ZINC001232374125,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC)cc1Cl
ZINC001232391483,COc1ccc(OC(C)C)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1
ZINC001232521498,Nc1c(Br)cccc1CN1CCC(n2c(=O)[nH]c3ccccc32)CC1
ZINC001232525659,Cn1c(=O)n(C2CCN(Cc3cccc(Br)c3N)CC2)c2ccccc21
ZINC001232578539,COC(=O)c1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(Cl)c1
ZINC001232998527,Cn1c(=O)n(C2CCN(Cc3cc(O)cc(Br)c3)CC2)c2ccccc21
ZINC001233003583,COc1cc(Cl)cc(F)c1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1
ZINC001233400618,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(Cl)c1O
ZINC001234719721,COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC(C)C)c1
ZINC001235671688,Cn1c(=O)n(C2CCN(Cc3ccc(O)c(OC(F)(F)F)c3)CC2)c2ccccc21
ZINC001235820316,Cn1c(=O)n(C2CCN(Cc3cc(OC(F)(F)F)ccc3N)CC2)c2ccccc21
ZINC001236686909,Cn1c(=O)n(C2CCN(Cc3ccc(Br)c(O)c3)CC2)c2ccccc21
ZINC001236721198,Cn1c(=O)n(C2CCN(Cc3ccc(OC(F)F)cc3F)CC2)c2ccccc21
ZINC001236731259,Cn1c(=O)n(C2CCN(Cc3ccc(O)cc3OC(F)(F)F)CC2)c2ccccc21
ZINC001236776891,COC(=O)c1cc(Cl)cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c1
ZINC001237354333,Cn1c(=O)n(C2CCN(Cc3ccc(OC(F)F)c(F)c3)CC2)c2ccccc21
ZINC001237910380,CCOC(=O)COc1cccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1
ZINC001238343586,COc1c(Cl)ccc(F)c1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1
ZINC001238652782,CCOc1cc(F)c(F)cc1CN1CCC(n2c(=O)n(C)c3ccccc32)CC1
